1,27,137.85054175748394,14,This is what I want
2,10,750.4981423976575,4,This is what I want
3,6,1651.266284503257,11,This item is perfect
4,49,1042.2052882652363,9,This item is good
5,10,1828.3070289738782,13,This item is good
6,50,1672.992902209058,6,This item is awful
7,35,1950.109836772616,9,This item is perfect
8,41,341.9354215750882,10,This item is not bad
9,28,133.4909716643931,3,This item is not bad
10,43,51.01858485925174,8,This is what I want
11,48,1443.071354784622,12,This is what I want
12,29,614.5735004821975,13,This item is perfect
13,11,1047.9656357054714,14,This item is great
14,33,1117.5908059877847,6,This item is great
15,7,1095.4609047277945,6,This item is awful
16,37,686.7608925311655,5,This item is great
17,16,414.5113820144861,6,This item is good
18,26,95.61911528663583,9,This item is perfect
19,13,1015.2107053771889,13,This item is perfect
20,13,543.81710010471,4,This item is perfect
21,39,640.8861234534114,6,This item is great
22,35,275.60058176111335,15,This item is great
23,9,1574.299307873598,8,This item is not bad
24,47,802.728684962834,1,This item is good
25,46,1667.2263183308328,10,This item is not bad
26,22,797.6684977848199,4,This item is great
27,9,1223.4042641760234,1,This item is great
28,39,1940.9991114139862,6,This is what I want
29,38,253.40947863181364,1,This item is good
30,30,730.0637388660742,11,This item is not bad
31,21,723.7544077711009,13,This item is not bad
32,22,1624.806277602097,4,This item is awful
33,25,1954.6885817804616,1,This item is not bad
34,25,1005.9448473774169,14,This item is awful
35,36,759.0445927780063,2,This item is good
36,8,1817.3432304574396,9,This item is great
37,21,119.27403583377517,7,This item is perfect
38,38,782.9521287533871,2,This item is not bad
39,37,1533.5344280050538,12,This item is good
40,16,1297.2033158420886,5,This item is not bad
41,37,1147.3270008315608,4,This is what I want
42,30,1006.9816651505794,15,This item is good
43,22,1910.160714291405,3,This item is perfect
44,2,861.9587695882265,8,This is what I want
45,9,959.8702932511292,1,This item is not bad
46,35,291.6879980148644,14,This item is good
47,15,1199.4040491375226,1,This item is not bad
48,33,1800.1692285338447,15,This item is great
49,50,1891.3809054682654,12,This item is great
50,1,648.0404983638987,7,This item is awful
51,45,1776.57380971793,14,This item is good
52,19,344.3605463274269,7,This item is good
53,28,96.37865027819943,1,This item is not bad
54,44,337.8913830555916,1,This item is good
55,34,340.19767768736773,12,This item is great
56,13,612.4780799797103,14,This item is not bad
57,15,572.0695879335908,2,This item is perfect
58,29,1229.5940356289825,9,This item is good
59,13,1046.2060766843856,15,This item is perfect
60,41,1879.39059079321,7,This item is not bad
61,8,129.7022842192292,7,This is what I want
62,28,1039.410048122464,3,This item is not bad
63,9,396.9752301270135,4,This item is awful
64,3,496.5133728902638,4,This item is perfect
65,26,1855.0048590560766,1,This item is not bad
66,42,650.6194144367128,1,This item is perfect
67,16,1464.2308291394145,15,This item is not bad
68,45,589.8525064070849,3,This item is good
69,8,572.2704764097199,11,This item is good
70,14,1035.8354107415148,12,This item is good
71,10,937.1319816829159,7,This item is awful
72,33,1328.218610218984,7,This item is not bad
73,36,386.0266712030229,2,This item is not bad
74,3,580.703751497366,8,This is what I want
75,47,1826.128570009853,3,This item is perfect
76,30,1853.6788347041622,6,This item is great
77,40,44.67090961048177,9,This item is good
78,19,731.9579368428375,7,This item is perfect
79,7,1021.9549154572483,15,This item is perfect
80,38,1332.2259349858746,12,This item is perfect
81,50,1340.8028568315706,7,This item is awful
82,27,261.0324728034591,8,This item is awful
83,1,333.5063343478668,13,This item is perfect
84,22,74.25928932011561,3,This item is awful
85,30,866.1086507480625,4,This is what I want
86,26,128.65468444061156,3,This item is perfect
87,30,1394.4366055702553,3,This is what I want
88,3,724.2765020918395,13,This item is awful
89,16,477.91474038140757,7,This item is good
90,43,294.58297310704063,11,This item is perfect
91,19,661.4900530995227,7,This item is good
92,15,1631.1578730578813,1,This item is great
93,5,229.5531266950626,4,This item is good
94,16,258.97768638355956,13,This item is perfect
95,39,1790.3733738300734,11,This item is great
96,17,1833.1631406212994,9,This item is good
97,24,1255.916369029876,14,This item is not bad
98,3,1209.281009851131,6,This item is good
99,45,1684.8821838687375,13,This item is good
100,33,1520.114704189962,11,This item is good
101,6,763.2595937106196,3,This item is great
102,21,894.9892247588413,2,This is what I want
103,39,1913.5588457710817,9,This item is awful
104,26,1273.4620483962797,2,This item is awful
105,14,1447.372291408119,7,This item is not bad
106,19,1310.4328208545521,9,This item is great
107,11,780.7058271256275,5,This is what I want
108,2,1531.1012989905744,15,This is what I want
109,44,331.09746234415866,4,This item is good
110,12,210.61851234288284,12,This item is great
111,7,548.1961758531532,15,This item is perfect
112,24,122.99425080557445,5,This item is good
113,9,511.6228541537216,2,This item is great
114,17,1043.644829071441,9,This item is perfect
115,43,1074.5200538687195,15,This item is good
116,19,1600.5023654849392,11,This is what I want
117,20,884.6205161059291,4,This item is perfect
118,6,1679.2250603091577,10,This item is perfect
119,50,887.4777146149686,7,This item is good
120,44,368.7867764559171,15,This item is awful
121,25,10.693315390984266,4,This item is awful
